线路,行别,站区,隧道名称,锚段号,杆号,跨距,公里标,导高,拉出值,结构类型,GPS经度,GPS纬度
西环线,下行,生米-向塘,,,781,32.7,47.977,6450,300,,,
西环线,下行,生米-向塘,,,783,32.7,48.01,6450,300,,,
西环线,下行,生米-向塘,,,785,32.7,48.042,6450,300,,,
西环线,下行,生米-向塘,,,787,32.7,48.075,6450,300,,,
西环线,下行,生米-向塘,,,789,32.7,48.108,6450,300,,,
西环线,下行,生米-向塘,,,791,32.7,48.141,6450,300,,,
西环线,下行,生米-向塘,,,793,40,48.181,6450,300,,,
西环线,下行,生米-向塘,,,795,35,48.216,6450,300,,,
西环线,下行,生米-向塘,,,797,45,48.261,6450,300,,,
西环线,下行,生米-向塘,,,799,50,48.311,6450,300,锚柱,,
西环线,下行,生米-向塘,,,801,55,48.366,6450,300,转换柱,,
西环线,下行,生米-向塘,,,803,60,48.426,6450,300/100,中心柱,,
西环线,下行,生米-向塘,,,805,55,48.481,6450,300,转换柱,,
西环线,下行,生米-向塘,,,807,55,48.536,6450,300,锚柱,,
西环线,下行,生米-向塘,,,809,60,48.596,6450,300,,,
西环线,下行,生米-向塘,,,811,60,48.656,6450,300,,,
西环线,下行,生米-向塘,,,813,55,48.711,6450,300,,,
西环线,下行,生米-向塘,,,815,60,48.771,6450,300,,,
西环线,下行,生米-向塘,,,817,60,48.831,6450,300,,,
西环线,下行,生米-向塘,,,819,60,48.891,6450,300,,,
西环线,下行,生米-向塘,,,821,60,48.951,6450,300,,,
西环线,下行,生米-向塘,,,823,60,49.011,6450,300,,,
西环线,下行,生米-向塘,,,825,55,49.066,6450,300,,,
西环线,下行,生米-向塘,,,827,60,49.126,6450,300,,,
西环线,下行,生米-向塘,,,829,55,49.181,6450,300,,,
西环线,下行,生米-向塘,,,831,55,49.236,6450,300,,,
西环线,下行,生米-向塘,,,833,60,49.296,6450,300,,,
西环线,下行,生米-向塘,,,835,60,49.356,6450,300,,,
西环线,下行,生米-向塘,,,837,60,49.416,6450,300,,,
西环线,下行,生米-向塘,,,839,60,49.476,6450,300,,,
西环线,下行,生米-向塘,,,841,55,49.531,6450,300,,,
西环线,下行,生米-向塘,,,843,60,49.591,6450,300,,,
西环线,下行,生米-向塘,,,845,60,49.651,6450,300,锚柱,,
西环线,下行,生米-向塘,,,847,60,49.711,6450,300,转换柱,,
西环线,下行,生米-向塘,,,849,60,49.771,6450,300/100,中心柱,,
西环线,下行,生米-向塘,,,851,55,49.826,6450,300,转换柱,,
西环线,下行,生米-向塘,,,853,55,49.881,6450,300,锚柱,,
西环线,下行,生米-向塘,,,855,60,49.941,6450,300,,,
西环线,下行,生米-向塘,,,857,47,49.988,6450,300,,,
西环线,下行,生米-向塘,,,859,45,50.033,6450,300,,,
西环线,下行,生米-向塘,,,861,45,50.078,6450,300,,,
西环线,下行,生米-向塘,,,863,45,50.123,6450,300,,,
西环线,下行,生米-向塘,,,865,45,50.168,6450,300,,,
西环线,下行,生米-向塘,,,867,45.2,50.213,6450,300,,,
西环线,下行,生米-向塘,,,869,47.8,50.261,6450,300,,,
西环线,下行,生米-向塘,,,871,48,50.309,6450,300,,,
西环线,下行,生米-向塘,,,873,47,50.356,6450,300,,,
西环线,下行,生米-向塘,,,875,50,50.406,6450,300,,,
西环线,下行,生米-向塘,,,877,55,50.461,6450,300,,,
西环线,下行,生米-向塘,,,879,55,50.516,6450,300,吸上线,,
西环线,下行,生米-向塘,,,881,55,50.571,6450,300,,,
西环线,下行,生米-向塘,,,883,60,50.631,6450,300,,,
西环线,下行,生米-向塘,,,885,55,50.686,6450,300,,,
西环线,下行,生米-向塘,,,887,55,50.741,6450,300,,,
西环线,下行,生米-向塘,,,889,55,50.796,6450,300,,,
西环线,下行,生米-向塘,,,891,55,50.851,6450,300,,,
西环线,下行,生米-向塘,,,893,50.66,50.901,6450,300,,,
西环线,下行,生米-向塘,,,895,50,50.951,6450,300,,,
西环线,下行,生米-向塘,,,897,55,51.006,6450,300,锚柱,,
西环线,下行,生米-向塘,,,899,60,51.066,6450,300,转换柱,,
西环线,下行,生米-向塘,,,901,60,51.126,6450,300/100,中心柱,,
西环线,下行,生米-向塘,,,903,55,51.181,6450,300,转换柱,,
西环线,下行,生米-向塘,,,905,55,51.236,6450,300,锚柱,,
西环线,下行,生米-向塘,,,907,55,51.291,6450,300,,,
西环线,下行,生米-向塘,,,909,57,51.348,6450,300,,,
西环线,下行,生米-向塘,,,911,60,51.408,6450,300,,,
西环线,下行,生米-向塘,,,913,55,51.463,6450,300,,,
西环线,下行,生米-向塘,,,915,49.85,51.513,6450,300,,,
西环线,下行,生米-向塘,,,917,32.7,51.546,6450,300,,,
西环线,下行,生米-向塘,,,919,32.7,51.578,6450,300,,,
西环线,下行,生米-向塘,,,921,32.7,51.611,6450,300,,,
西环线,下行,生米-向塘,,,923,32.7,51.644,6450,300,,,
西环线,下行,生米-向塘,,,925,32.7,51.677,6450,300,,,
西环线,下行,生米-向塘,,,927,32.7,51.709,6450,300,,,
西环线,下行,生米-向塘,,,929,32.7,51.742,6450,300,,,
西环线,下行,生米-向塘,,,931,32.7,51.775,6450,300,,,
西环线,下行,生米-向塘,,,933,32.7,51.807,6450,300,,,
西环线,下行,生米-向塘,,,935,50,51.857,6450,300,,,
西环线,下行,生米-向塘,,,937,55,51.912,6450,300,,,
西环线,下行,生米-向塘,,,939,55,51.967,6450,300,,,
西环线,下行,生米-向塘,,,941,60,52.027,6450,300,,,
西环线,下行,生米-向塘,,,943,55,52.082,6450,300,,,
西环线,下行,生米-向塘,,,945,60,52.142,6450,300,,,
西环线,下行,生米-向塘,,,947,60,52.202,6450,300,,,
西环线,下行,生米-向塘,,,949,60,52.262,6450,300,锚柱,,
西环线,下行,生米-向塘,,,951,60,52.322,6450,300,转换柱,,
西环线,下行,生米-向塘,,,953,60,52.382,6450,300/100,中心柱,,
西环线,下行,生米-向塘,,,955,55,52.437,6450,300,转换柱,,
西环线,下行,生米-向塘,,,957,55,52.492,6450,300,锚柱,,
西环线,下行,生米-向塘,,,959,55,52.547,6450,300,,,
西环线,下行,生米-向塘,,,961,60,52.607,6450,300,,,
西环线,下行,生米-向塘,,,963,60,52.667,6450,300,,,
西环线,下行,生米-向塘,,,965,60,52.727,6450,300,,,
西环线,下行,生米-向塘,,,967,60,52.787,6450,300,,,
西环线,下行,生米-向塘,,,969,55,52.842,6450,300,,,
西环线,下行,生米-向塘,,,971,60,52.902,6450,300,,,
西环线,下行,生米-向塘,,,973,60,52.962,6450,300,,,
西环线,下行,生米-向塘,,,975,60,53.022,6450,300,,,
西环线,下行,生米-向塘,,,977,55,53.077,6450,300,,,
西环线,下行,生米-向塘,,,979,55,53.132,6450,300,,,
西环线,下行,生米-向塘,,,981,60,53.192,6450,300,,,
西环线,下行,生米-向塘,,,983,55,53.247,6450,300,,,
西环线,下行,生米-向塘,,,985,60,53.307,6450,300,,,
西环线,下行,生米-向塘,,,987,60,53.367,6450,300,,,
西环线,下行,生米-向塘,,,989,60,53.427,6450,300,,,
西环线,下行,生米-向塘,,,991,60,53.487,6450,300,,,
西环线,下行,生米-向塘,,,993,60,53.547,6450,300,锚柱,,
西环线,下行,生米-向塘,,,995,60,53.607,6450,300,转换柱,,
