线路,行别,站区,隧道名称,锚段号,杆号,跨距,公里标,导高,拉出值,结构类型,GPS经度,GPS纬度
西环线,下行,乐化普速场-生米,,,35,48.35,2.993,6450,150,,,
西环线,下行,乐化普速场-生米,,,37,40,3.033,6450,300,,,
西环线,下行,乐化普速场-生米,,,39,40,3.073,6450,300,,,
西环线,下行,乐化普速场-生米,,,41,46.65,3.119,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,43,50,3.169,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,45,50,3.219,6450,300/100,中心柱,,
西环线,下行,乐化普速场-生米,,,47,50,3.269,6450,200,转换柱,,
西环线,下行,乐化普速场-生米,,,49,50,3.319,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,51,55,3.374,6450,300,,,
西环线,下行,乐化普速场-生米,,,53,55,3.429,6450,300,,,
西环线,下行,乐化普速场-生米,,,55,55,3.484,6450,300,,,
西环线,下行,乐化普速场-生米,,,57,55,3.539,6450,300,,,
西环线,下行,乐化普速场-生米,,,59,55,3.594,6450,300,,,
西环线,下行,乐化普速场-生米,,,61,55,3.649,6450,300,,,
西环线,下行,乐化普速场-生米,,,63,55,3.704,6450,300,,,
西环线,下行,乐化普速场-生米,,,65,50,3.754,6450,300,,,
西环线,下行,乐化普速场-生米,,,67,50,3.804,6450,300,,,
西环线,下行,乐化普速场-生米,,,69,50,3.854,6450,300,,,
西环线,下行,乐化普速场-生米,,,71,55,3.909,6450,300,,,
西环线,下行,乐化普速场-生米,,,73,55,3.964,6450,300,,,
西环线,下行,乐化普速场-生米,,,75,50,4.014,6450,300,,,
西环线,下行,乐化普速场-生米,,,77,50,4.064,6450,300,,,
西环线,下行,乐化普速场-生米,,,79,45,4.109,6450,300,,,
西环线,下行,乐化普速场-生米,,,81,50,4.159,6450,300,,,
西环线,下行,乐化普速场-生米,,,83,50,4.209,6450,300,,,
西环线,下行,乐化普速场-生米,,,85,50,4.259,6450,300,,,
西环线,下行,乐化普速场-生米,,,87,50,4.309,6450,300,,,
西环线,下行,乐化普速场-生米,,,89,36.75,4.346,6450,300,,,
西环线,下行,乐化普速场-生米,,,91,24.8,4.371,6450,300,,,
西环线,下行,乐化普速场-生米,,,93,32.6,4.403,6450,300,,,
西环线,下行,乐化普速场-生米,,,95,32.7,4.436,6450,300,,,
西环线,下行,乐化普速场-生米,,,97,32.7,4.469,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,99,32.7,4.502,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,101,32.7,4.534,6450,300/100,中心柱,,
西环线,下行,乐化普速场-生米,,,103,32.7,4.567,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,105,32.7,4.6,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,107,32.7,4.632,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,109,32.7,4.665,6450,300,,,
西环线,下行,乐化普速场-生米,,,111,32.7,4.698,6450,300,,,
西环线,下行,乐化普速场-生米,,,113,32.7,4.73,6450,300,,,
西环线,下行,乐化普速场-生米,,,115,32.7,4.763,6450,300,,,
西环线,下行,乐化普速场-生米,,,117,32.7,4.796,6450,300,,,
西环线,下行,乐化普速场-生米,,,119,32.7,4.829,6450,300,,,
西环线,下行,乐化普速场-生米,,,121,32.7,4.861,6450,300,,,
西环线,下行,乐化普速场-生米,,,123,32.7,4.894,6450,150,,,
西环线,下行,乐化普速场-生米,,,125,32.7,4.927,6450,150,,,
西环线,下行,乐化普速场-生米,,,127,32.7,4.959,6450,150,,,
西环线,下行,乐化普速场-生米,,,129,32.7,4.992,6450,150,,,
西环线,下行,乐化普速场-生米,,,131,32.7,5.025,6450,150,,,
西环线,下行,乐化普速场-生米,,,133,32.7,5.057,6450,150,,,
西环线,下行,乐化普速场-生米,,,135,32.7,5.09,6450,150,,,
西环线,下行,乐化普速场-生米,,,137,32.7,5.123,6450,150,,,
西环线,下行,乐化普速场-生米,,,139,32.7,5.156,6450,150,,,
西环线,下行,乐化普速场-生米,,,141,32.7,5.188,6450,150,,,
西环线,下行,乐化普速场-生米,,,143,32.7,5.221,6450,150,,,
西环线,下行,乐化普速场-生米,,,145,32.7,5.254,6450,150,,,
西环线,下行,乐化普速场-生米,,,147,32.7,5.286,6450,150,,,
西环线,下行,乐化普速场-生米,,,149,32.7,5.319,6450,150,,,
西环线,下行,乐化普速场-生米,,,151,32.7,5.352,6450,150,,,
西环线,下行,乐化普速场-生米,,,153,32.7,5.384,6450,150,,,
西环线,下行,乐化普速场-生米,,,155,32.7,5.417,6450,150,,,
西环线,下行,乐化普速场-生米,,,157,44.11,5.461,6450,150,,,
西环线,下行,乐化普速场-生米,,,159,42.85,5.504,6450,150,,,
西环线,下行,乐化普速场-生米,,,161,44,5.548,6450,150,,,
西环线,下行,乐化普速场-生米,,,163,45.04,5.593,6450,150,,,
西环线,下行,乐化普速场-生米,,,165,45,5.638,6450,150,,,
西环线,下行,乐化普速场-生米,,,167,50,5.688,6450,150,,,
西环线,下行,乐化普速场-生米,,,169,55,5.743,6450,150,,,
西环线,下行,乐化普速场-生米,,,171,55,5.798,6450,150,,,
西环线,下行,乐化普速场-生米,,,173,50,5.848,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,175,45,5.893,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,177,45.38,5.938,6450,300/100,中心柱,,
西环线,下行,乐化普速场-生米,,,179,42.1,5.981,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,181,39.04,6.02,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,183,45,6.065,6450,300,,,
西环线,下行,乐化普速场-生米,,,185,45,6.11,6450,300,,,
西环线,下行,乐化普速场-生米,,,187,40,6.15,6450,300,,,
西环线,下行,乐化普速场-生米,,,189,45,6.195,6450,300,,,
西环线,下行,乐化普速场-生米,,,191,50.28,6.245,6450,300,,,
西环线,下行,乐化普速场-生米,,,193,55,6.3,6450,300,,,
西环线,下行,乐化普速场-生米,,,195,55,6.355,6450,300,,,
西环线,下行,乐化普速场-生米,,,197,55,6.41,6450,300,,,
西环线,下行,乐化普速场-生米,,,199,45.13,6.455,6450,300,,,
西环线,下行,乐化普速场-生米,,,201,55.19,6.51,6450,300,,,
西环线,下行,乐化普速场-生米,,,203,47.37,6.558,6450,300,,,
西环线,下行,乐化普速场-生米,,,205,45.12,6.603,6450,300,,,
西环线,下行,乐化普速场-生米,,,207,40.98,6.644,6450,300,,,
西环线,下行,乐化普速场-生米,,,209,44.42,6.688,6450,300,,,
西环线,下行,乐化普速场-生米,,,211,45,6.733,6450,300,,,
西环线,下行,乐化普速场-生米,,,213,45,6.778,6450,300,,,
西环线,下行,乐化普速场-生米,,,215,45,6.823,6450,300,,,
西环线,下行,乐化普速场-生米,,,217,45,6.868,6450,300,,,
西环线,下行,乐化普速场-生米,,,219,45.97,6.914,6450,300,,,
西环线,下行,乐化普速场-生米,,,221,50,6.964,6450,300,,,
西环线,下行,乐化普速场-生米,,,223,55,7.019,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,225,55,7.074,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,227,50,7.124,6450,300/100,中心柱,,
西环线,下行,乐化普速场-生米,,,229,50,7.174,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,231,55,7.229,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,233,47,7.276,6450,300,,,
西环线,下行,乐化普速场-生米,,,235,50,7.326,6450,300,,,
西环线,下行,乐化普速场-生米,,,237,53.18,7.379,6450,300,,,
西环线,下行,乐化普速场-生米,,,239,49.1,7.428,6450,300,,,
西环线,下行,乐化普速场-生米,,,241,49.05,7.477,6450,300,,,
西环线,下行,乐化普速场-生米,,,243,49.1,7.527,6450,300,,,
西环线,下行,乐化普速场-生米,,,245,49,7.576,6450,300,,,
西环线,下行,乐化普速场-生米,,,247,49.1,7.625,6450,300,,,
西环线,下行,乐化普速场-生米,,,249,49.05,7.674,6450,300,,,
西环线,下行,乐化普速场-生米,,,251,49.1,7.723,6450,300,,,
西环线,下行,乐化普速场-生米,,,253,49.1,7.772,6450,300,,,
西环线,下行,乐化普速场-生米,,,255,49.1,7.821,6450,300,,,
西环线,下行,乐化普速场-生米,,,257,49.1,7.87,6450,300,,,
西环线,下行,乐化普速场-生米,,,259,49.1,7.919,6450,300,,,
西环线,下行,乐化普速场-生米,,,261,49.1,7.968,6450,300,,,
西环线,下行,乐化普速场-生米,,,263,49.1,8.017,6450,300,,,
西环线,下行,乐化普速场-生米,,,265,49.1,8.066,6450,300,,,
西环线,下行,乐化普速场-生米,,,267,49.1,8.116,6450,300,,,
西环线,下行,乐化普速场-生米,,,269,49.1,8.165,6450,300,,,
西环线,下行,乐化普速场-生米,,,271,49.1,8.214,6450,300,,,
西环线,下行,乐化普速场-生米,,,273,49.1,8.263,6450,300,,,
西环线,下行,乐化普速场-生米,,,275,51.35,8.314,6450,300,,,
西环线,下行,乐化普速场-生米,,,277,50,8.364,6450,50,,,
西环线,下行,乐化普速场-生米,,,279,50,8.414,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,281,45,8.459,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,283,45,8.504,6450,300/100,中心柱,,
西环线,下行,乐化普速场-生米,,,285,50.24,8.554,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,287,55,8.609,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,289,55,8.664,6450,300,,,
西环线,下行,乐化普速场-生米,,,291,55,8.719,6450,300,,,
西环线,下行,乐化普速场-生米,,,293,50,8.769,6450,300,,,
西环线,下行,乐化普速场-生米,,,295,55,8.824,6450,300,,,
西环线,下行,乐化普速场-生米,,,297,50,8.874,6450,300,,,
西环线,下行,乐化普速场-生米,,,299,50,8.924,6450,300,,,
西环线,下行,乐化普速场-生米,,,301,55,8.979,6450,300,,,
西环线,下行,乐化普速场-生米,,,303,55,9.034,6450,300,,,
西环线,下行,乐化普速场-生米,,,305,55,9.089,6450,300,,,
西环线,下行,乐化普速场-生米,,,307,55,9.144,6450,300,,,
西环线,下行,乐化普速场-生米,,,309,55,9.199,6450,300,,,
西环线,下行,乐化普速场-生米,,,311,50,9.249,6450,300,,,
西环线,下行,乐化普速场-生米,,,313,50,9.299,6450,300,,,
西环线,下行,乐化普速场-生米,,,315,50,9.349,6450,300,,,
西环线,下行,乐化普速场-生米,,,317,50,9.399,6450,300,,,
西环线,下行,乐化普速场-生米,,,319,50,9.449,6450,300,,,
西环线,下行,乐化普速场-生米,,,321,50,9.499,6450,300,,,
西环线,下行,乐化普速场-生米,,,323,50,9.549,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,325,55,9.604,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,327,50,9.654,6450,300/100,中心柱,,
西环线,下行,乐化普速场-生米,,,329,50,9.704,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,331,55,9.759,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,333,44.95,9.804,6450,300,,,
西环线,下行,乐化普速场-生米,,,335,46.18,9.851,6450,300,,,
西环线,下行,乐化普速场-生米,,,337,49.15,9.9,6450,300,,,
西环线,下行,乐化普速场-生米,,,339,49.1,9.949,6450,300,,,
西环线,下行,乐化普速场-生米,,,341,49.15,9.998,6450,300,,,
西环线,下行,乐化普速场-生米,,,343,48.98,10.047,6450,300,,,
西环线,下行,乐化普速场-生米,,,345,49.15,10.096,6450,300,,,
西环线,下行,乐化普速场-生米,,,347,48.95,10.145,6450,300,,,
西环线,下行,乐化普速场-生米,,,349,49.15,10.194,6450,300,,,
西环线,下行,乐化普速场-生米,,,351,48.95,10.243,6450,300,,,
西环线,下行,乐化普速场-生米,,,353,49.15,10.292,6450,300,,,
西环线,下行,乐化普速场-生米,,,355,48.95,10.341,6450,300,,,
西环线,下行,乐化普速场-生米,,,357,49.15,10.39,6450,300,,,
西环线,下行,乐化普速场-生米,,,359,57,10.447,6450,300,,,
西环线,下行,乐化普速场-生米,,,361,49.06,10.496,6450,300,,,
西环线,下行,乐化普速场-生米,,,363,54.7,10.551,6450,300,,,
西环线,下行,乐化普速场-生米,,,365,55,10.606,6450,300,,,
西环线,下行,乐化普速场-生米,,,367,55,10.661,6450,300,,,
西环线,下行,乐化普速场-生米,,,369,55,10.716,6450,300,,,
西环线,下行,乐化普速场-生米,,,371,55,10.771,6450,300,,,
西环线,下行,乐化普速场-生米,,,373,50.31,10.821,6450,300,,,
西环线,下行,乐化普速场-生米,,,375,52,10.873,6450,300,,,
西环线,下行,乐化普速场-生米,,,377,50,10.923,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,379,55,10.978,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,381,55,11.033,6450,300/100,中心柱,,
西环线,下行,乐化普速场-生米,,,383,50,11.083,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,385,55,11.138,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,387,55,11.193,6450,300,,,
西环线,下行,乐化普速场-生米,,,389,55,11.248,6450,300,,,
西环线,下行,乐化普速场-生米,,,391,55,11.303,6450,300,,,
西环线,下行,乐化普速场-生米,,,393,55,11.358,6450,300,,,
西环线,下行,乐化普速场-生米,,,395,50,11.408,6450,300,,,
西环线,下行,乐化普速场-生米,,,397,50,11.458,6450,300,,,
西环线,下行,乐化普速场-生米,,,399,50,11.508,6450,300,,,
西环线,下行,乐化普速场-生米,,,401,55,11.563,6450,300,,,
西环线,下行,乐化普速场-生米,,,403,55,11.618,6450,300,,,
西环线,下行,乐化普速场-生米,,,405,50,11.668,6450,300,,,
西环线,下行,乐化普速场-生米,,,407,50,11.718,6450,300,,,
西环线,下行,乐化普速场-生米,,,409,55,11.773,6450,300,,,
西环线,下行,乐化普速场-生米,,,411,55,11.828,6450,300,,,
西环线,下行,乐化普速场-生米,,,413,50,11.878,6450,300,,,
西环线,下行,乐化普速场-生米,,,415,55,11.933,6450,300,,,
西环线,下行,乐化普速场-生米,,,417,50,11.983,6450,300,,,
西环线,下行,乐化普速场-生米,,,419,50,12.033,6450,300,,,
西环线,下行,乐化普速场-生米,,,421,55,12.088,6450,300,,,
西环线,下行,乐化普速场-生米,,,423,55,12.143,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,425,50,12.193,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,427,55,12.248,6450,300/100,中心柱,,
西环线,下行,乐化普速场-生米,,,429,55,12.303,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,431,55,12.358,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,433,50,12.408,6450,300,,,
西环线,下行,乐化普速场-生米,,,435,50,12.458,6450,300,,,
西环线,下行,乐化普速场-生米,,,437,50,12.508,6450,300,,,
西环线,下行,乐化普速场-生米,,,439,50,12.558,6450,300,,,
西环线,下行,乐化普速场-生米,,,441,49.72,12.608,6450,300,,,
西环线,下行,乐化普速场-生米,,,443,45,12.653,6450,300,,,
西环线,下行,乐化普速场-生米,,,445,46.18,12.699,6450,300,,,
西环线,下行,乐化普速场-生米,,,447,49.08,12.748,6450,300,,,
西环线,下行,乐化普速场-生米,,,449,49.08,12.798,6450,300,,,
西环线,下行,乐化普速场-生米,,,451,49.08,12.847,6450,300,,,
西环线,下行,乐化普速场-生米,,,453,49.08,12.896,6450,300,,,
西环线,下行,乐化普速场-生米,,,455,49.08,12.945,6450,300,,,
西环线,下行,乐化普速场-生米,,,457,49.08,12.994,6450,300,,,
西环线,下行,乐化普速场-生米,,,459,49.08,13.043,6450,300,,,
西环线,下行,乐化普速场-生米,,,461,49.74,13.093,6450,300,,,
西环线,下行,乐化普速场-生米,,,463,45.95,13.139,6450,300,,,
西环线,下行,乐化普速场-生米,,,465,40.95,13.18,6450,300,硬锚,,
西环线,下行,乐化普速场-生米,,,467,46.05,13.226,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,469,40,13.266,6450,300/150,中心柱,,
西环线,下行,乐化普速场-生米,,,471,40,13.306,6450,600/150,锚柱,,
西环线,下行,乐化普速场-生米,,,473,33,13.339,6450,150/600,锚柱,,
西环线,下行,乐化普速场-生米,,,475,40,13.379,6450,300/150,中心柱,,
西环线,下行,乐化普速场-生米,,,477,40,13.419,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,479,47,13.466,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,481,40,13.506,6450,300,,,
西环线,下行,乐化普速场-生米,,,483,46,13.552,6450,300,,,
西环线,下行,乐化普速场-生米,,,485,45,13.597,6450,300,,,
西环线,下行,乐化普速场-生米,,,487,40,13.637,6450,300,,,
西环线,下行,乐化普速场-生米,,,489,40,13.677,6450,300,,,
西环线,下行,乐化普速场-生米,,,491,40,13.717,6450,300,,,
西环线,下行,乐化普速场-生米,,,493,40,13.757,6450,300,,,
西环线,下行,乐化普速场-生米,,,495,40,13.797,6450,300,,,
西环线,下行,乐化普速场-生米,,,497,40,13.837,6450,300,,,
西环线,下行,乐化普速场-生米,,,499,40,13.877,6450,300,,,
西环线,下行,乐化普速场-生米,,,501,40,13.917,6450,300,,,
西环线,下行,乐化普速场-生米,,,503,40,13.957,6450,300,,,
西环线,下行,乐化普速场-生米,,,505,47,14.004,6450,300,,,
西环线,下行,乐化普速场-生米,,,507,43.16,14.047,6450,300,,,
西环线,下行,乐化普速场-生米,,,509,50.75,14.098,6450,300,,,
西环线,下行,乐化普速场-生米,,,511,48.77,14.146,6450,50,,,
西环线,下行,乐化普速场-生米,,,513,45,14.191,6450,300,,,
西环线,下行,乐化普速场-生米,,,515,45,14.236,6450,300,,,
西环线,下行,乐化普速场-生米,,,517,45,14.281,6450,300,,,
西环线,下行,乐化普速场-生米,,,519,50,14.331,6450,300,,,
西环线,下行,乐化普速场-生米,,,521,55,14.386,6450,300,,,
西环线,下行,乐化普速场-生米,,,523,55,14.441,6450,300,,,
西环线,下行,乐化普速场-生米,,,525,55,14.496,6450,300,,,
西环线,下行,乐化普速场-生米,,,527,55,14.551,6450,300,,,
西环线,下行,乐化普速场-生米,,,529,55,14.606,6450,300,,,
西环线,下行,乐化普速场-生米,,,531,48.28,14.655,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,533,45,14.7,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,535,45,14.745,6450,300/100,中心柱,,
西环线,下行,乐化普速场-生米,,,537,50,14.795,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,539,45,14.84,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,541,45,14.885,6450,300,,,
西环线,下行,乐化普速场-生米,,,543,46.18,14.931,6450,300,,,
西环线,下行,乐化普速场-生米,,,545,49.08,14.98,6450,300,,,
西环线,下行,乐化普速场-生米,,,547,49.08,15.029,6450,300,,,
西环线,下行,乐化普速场-生米,,,549,49.08,15.078,6450,300,,,
西环线,下行,乐化普速场-生米,,,551,49.08,15.127,6450,300,,,
西环线,下行,乐化普速场-生米,,,553,49.48,15.177,6450,300,,,
西环线,下行,乐化普速场-生米,,,555,49.18,15.226,6450,300,,,
西环线,下行,乐化普速场-生米,,,557,48.82,15.275,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,559,49.08,15.324,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,561,48.92,15.373,6450,300/100,中心柱,,
西环线,下行,乐化普速场-生米,,,563,41.18,15.414,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,565,49.97,15.464,6450,300,硬锚,,
西环线,下行,乐化普速场-生米,,,567,48,15.512,6450,300,,,
西环线,下行,乐化普速场-生米,,,569,41,15.553,6450,300,,,
西环线,下行,乐化普速场-生米,,,571,48,15.601,6450,300,,,
西环线,下行,乐化普速场-生米,,,573,49.18,15.65,6450,300,,,
西环线,下行,乐化普速场-生米,,,575,48.92,15.699,6450,300,,,
西环线,下行,乐化普速场-生米,,,577,49.18,15.748,6450,300,,,
西环线,下行,乐化普速场-生米,,,579,48.92,15.797,6450,300,,,
西环线,下行,乐化普速场-生米,,,581,49.18,15.846,6450,300,,,
西环线,下行,乐化普速场-生米,,,583,49.02,15.895,6450,300,,,
西环线,下行,乐化普速场-生米,,,585,49.18,15.944,6450,300,,,
西环线,下行,乐化普速场-生米,,,587,48.82,15.993,6450,300,,,
西环线,下行,乐化普速场-生米,,,589,49.18,16.042,6450,300,,,
西环线,下行,乐化普速场-生米,,,591,49.92,16.092,6450,300,,,
西环线,下行,乐化普速场-生米,,,593,48.97,16.141,6450,300,,,
西环线,下行,乐化普速场-生米,,,595,49.05,16.19,6450,300,,,
西环线,下行,乐化普速场-生米,,,597,49.11,16.239,6450,300,,,
西环线,下行,乐化普速场-生米,,,599,48.99,16.288,6450,300,,,
西环线,下行,乐化普速场-生米,,,601,49.11,16.337,6450,300,,,
西环线,下行,乐化普速场-生米,,,603,48.99,16.386,6450,300,,,
西环线,下行,乐化普速场-生米,,,605,49.11,16.436,6450,300,,,
西环线,下行,乐化普速场-生米,,,607,48.99,16.485,6450,300,,,
西环线,下行,乐化普速场-生米,,,609,49.11,16.534,6450,300,,,
西环线,下行,乐化普速场-生米,,,611,48.99,16.583,6450,300,,,
西环线,下行,乐化普速场-生米,,,613,49.11,16.632,6450,300,,,
西环线,下行,乐化普速场-生米,,,615,48.99,16.681,6450,300,,,
西环线,下行,乐化普速场-生米,,,617,41.11,16.722,6450,300,,,
西环线,下行,乐化普速场-生米,,,619,41.07,16.763,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,621,49,16.812,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,623,41.1,16.853,6450,300/100,中心柱,,
西环线,下行,乐化普速场-生米,,,625,49.1,16.902,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,627,48.9,16.951,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,629,49.1,17,6450,300,,,
西环线,下行,乐化普速场-生米,,,631,49,17.049,6450,300,,,
西环线,下行,乐化普速场-生米,,,633,49.1,17.098,6450,300,,,
西环线,下行,乐化普速场-生米,,,635,49,17.147,6450,300,,,
西环线,下行,乐化普速场-生米,,,637,41.35,17.189,6450,300,,,
西环线,下行,乐化普速场-生米,,,639,40.8,17.229,6450,300,,,
西环线,下行,乐化普速场-生米,,,641,49.3,17.279,6450,300,,,
西环线,下行,乐化普速场-生米,,,643,48.6,17.327,6450,300,,,
西环线,下行,乐化普速场-生米,,,645,49.7,17.377,6450,300,,,
西环线,下行,乐化普速场-生米,,,647,48.4,17.425,6450,300,,,
西环线,下行,乐化普速场-生米,,,649,49.4,17.475,6450,300,,,
西环线,下行,乐化普速场-生米,,,651,48.45,17.523,6450,300,,,
西环线,下行,乐化普速场-生米,,,653,49.7,17.573,6450,300,,,
西环线,下行,乐化普速场-生米,,,655,40,17.613,6450,300,,,
西环线,下行,乐化普速场-生米,,,657,2,17.613,6450,300,,,
西环线,下行,乐化普速场-生米,,,659,40,17.653,6450,300,,,
西环线,下行,乐化普速场-生米,,,661,50,17.703,6450,300,,,
西环线,下行,乐化普速场-生米,,,663,50,17.753,6450,300,,,
西环线,下行,乐化普速场-生米,,,665,52,17.805,6450,300,,,
西环线,下行,乐化普速场-生米,,,667,50,17.855,6450,300,,,
西环线,下行,乐化普速场-生米,,,669,50,17.905,6450,300,,,
西环线,下行,乐化普速场-生米,,,671,45,17.95,6450,300,,,
西环线,下行,乐化普速场-生米,,,673,45,17.995,6450,300,,,
西环线,下行,乐化普速场-生米,,,675,37.35,18.032,6450,300,,,
西环线,下行,乐化普速场-生米,,,677,24.7,18.057,6450,150,,,
西环线,下行,乐化普速场-生米,,,679,40,18.097,6450,150,,,
西环线,下行,乐化普速场-生米,,,681,50,18.147,6450,150,锚柱,,
西环线,下行,乐化普速场-生米,,,683,50,18.197,6450,150,转换柱,,
西环线,下行,乐化普速场-生米,,,685,50,18.247,6450,350/150,中心柱,,
西环线,下行,乐化普速场-生米,,,687,50,18.297,6450,150,转换柱,,
西环线,下行,乐化普速场-生米,,,689,50,18.347,6450,150,锚柱,,
西环线,下行,乐化普速场-生米,,,691,50,18.397,6450,150,,,
西环线,下行,乐化普速场-生米,,,693,50,18.447,6450,150,,,
西环线,下行,乐化普速场-生米,,,695,55,18.502,6450,150,,,
西环线,下行,乐化普速场-生米,,,697,60,18.562,6450,150,,,
西环线,下行,乐化普速场-生米,,,699,60,18.622,6450,300,,,
西环线,下行,乐化普速场-生米,,,701,55,18.677,6450,300,,,
西环线,下行,乐化普速场-生米,,,703,55,18.732,6450,300,,,
西环线,下行,乐化普速场-生米,,,705,50,18.782,6450,300,,,
西环线,下行,乐化普速场-生米,,,707,50,18.832,6450,300,,,
西环线,下行,乐化普速场-生米,,,709,50,18.882,6450,300,吸上线,,
西环线,下行,乐化普速场-生米,,,711,50,18.932,6450,300,,,
西环线,下行,乐化普速场-生米,,,713,50,18.982,6450,300,,,
西环线,下行,乐化普速场-生米,,,715,50,19.032,6450,300,,,
西环线,下行,乐化普速场-生米,,,717,55,19.087,6450,150,,,
西环线,下行,乐化普速场-生米,,,719,50,19.137,6450,250,,,
西环线,下行,乐化普速场-生米,,,721,50,19.187,6450,250,,,
西环线,下行,乐化普速场-生米,,,723,50,19.237,6450,250,,,
西环线,下行,乐化普速场-生米,,,725,50,19.287,6450,250,锚柱,,
西环线,下行,乐化普速场-生米,,,727,52,19.339,6450,250,转换柱,,
西环线,下行,乐化普速场-生米,,,729,50,19.389,6450,250/50,中心柱,,
西环线,下行,乐化普速场-生米,,,731,50,19.439,6450,250,转换柱,,
西环线,下行,乐化普速场-生米,,,733,48,19.487,6450,250,锚柱,,
西环线,下行,乐化普速场-生米,,,735,50,19.537,6450,250,,,
西环线,下行,乐化普速场-生米,,,737,47.71,19.585,6450,250,,,
西环线,下行,乐化普速场-生米,,,739,32.81,19.617,6450,250,,,
西环线,下行,乐化普速场-生米,,,741,32.76,19.65,6450,250,,,
西环线,下行,乐化普速场-生米,,,743,32.72,19.683,6450,150,,,
西环线,下行,乐化普速场-生米,,,745,32.7,19.716,6450,300,,,
西环线,下行,乐化普速场-生米,,,747,32.7,19.748,6450,300,,,
西环线,下行,乐化普速场-生米,,,749,45,19.793,6450,300,,,
西环线,下行,乐化普速场-生米,,,751,50,19.843,6450,300,,,
西环线,下行,乐化普速场-生米,,,753,55,19.898,6450,300,,,
西环线,下行,乐化普速场-生米,,,755,50,19.948,6450,300,,,
西环线,下行,乐化普速场-生米,,,757,50,19.998,6450,300,,,
西环线,下行,乐化普速场-生米,,,759,50,20.048,6450,300,,,
西环线,下行,乐化普速场-生米,,,761,50,20.098,6450,300,,,
西环线,下行,乐化普速场-生米,,,763,50,20.148,6450,300,,,
西环线,下行,乐化普速场-生米,,,765,55,20.203,6450,300,,,
西环线,下行,乐化普速场-生米,,,767,55,20.258,6450,300,,,
西环线,下行,乐化普速场-生米,,,769,55,20.313,6450,300,,,
西环线,下行,乐化普速场-生米,,,771,60,20.373,6450,300,,,
西环线,下行,乐化普速场-生米,,,773,55,20.428,6450,300,,,
西环线,下行,乐化普速场-生米,,,775,50,20.478,6450,300,,,
西环线,下行,乐化普速场-生米,,,777,50,20.528,6450,300,,,
西环线,下行,乐化普速场-生米,,,779,50,20.578,6450,300,,,
西环线,下行,乐化普速场-生米,,,781,55,20.633,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,783,55,20.688,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,785,50,20.738,6450,300/100,中心柱,,
西环线,下行,乐化普速场-生米,,,787,50,20.788,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,789,55,20.843,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,791,55,20.898,6450,300,,,
